Год	Ед. Изм.	Соединенные Штаты Америки	Германия	Франция	Соединенное Королевство Великобритании и Северной Ирландии	Бельгия	Италия	Канада	Австралия	Испания	Мексика	Остальные
2010	млн штук	5.717462	2.708336	2.019923	2.462944	1.467156	1.755258	1.148093	0.824567	0.861221	0.732263	18.5417251066539
2011	млн штук	5.876638	3.0987	2.442956	2.229962	1.404958	1.662838	1.150876	0.732063	0.982598	0.824211	19.1634048580162
2012	млн штук	6.811924	3.0066185	1.682101	1.895622	1.310855	1.227112	1.273667	0.862202	0.9781625	0.810084	18.2123292420391
2013	млн штук	6.907749	2.914537	1.671215	2.150629	1.359144	1.189148	1.259165	0.90754	0.973727	0.970036	19.3979111135542
2014	млн штук	6.985481	3.256953	1.629111	2.358381	1.420288	1.308915	1.330526	0.824213	1.130751	0.9040885	21.000682001775
2015	млн штук	7.312135	2.512772	1.761351	2.561534	1.571728	1.492599	1.385416	0.910031	1.033111	0.838141	20.5121837238633
2016	млн штук	7.638789	2.75114	1.909645	2.518377	1.777728	1.767949	1.361699	0.896374	1.25068766666667	0.909394	22.6700428604616
2017	млн штук	7.965443	2.95549	2.062298	2.4654845	1.921197	1.897188	1.382602	0.947714	1.46826433333333	1.001606	21.2845445764949
2018	млн штук	7.862282	3.077506	2.205046	2.412592	1.909979	1.876746	1.402503	0.910381	1.685841	0.914193	21.0378630702247
2019	млн штук	7.79822	5.045012	2.21082	2.0480215	1.955584	1.568033	1.350876	0.807478	1.46137333333333	0.927869949764721	21.6856217439908
2020	млн штук	6.504773	2.773815	1.912185	1.683451	1.522867	1.25932	1.062157	0.677881	1.23690566666667	0.927869949764721	24.7160315834426
2021	млн штук	6.143171	2.585023	1.899688	1.503213	1.397266	1.39232	1.173229	0.819483	1.012438	0.927869949764721	18.4727295052411
2022	млн штук	6.39203	2.594222	1.838635	1.856116	2.348903	1.278983	1.228718	0.877492	1.01246064009189	0.927869949764721	18.5361522035292
2023	млн штук	7.361829	4.415866	4.400664	2.130059	1.647649	1.646998	1.486876	1.032839	1.01246064009189	0.927869949764721	20.3236083946848
2024	млн штук	7.36173097491301	3.41192498888668	2.29027248569211	2.13003137411608	1.87775503631612	1.64696106417182	1.29836678783929	0.947226839637934	1.01246064009189	0.92787015272343	19.3416586160843
