Год	Ед. Изм.	Соединенные Штаты Америки	Соединенное Королевство Великобритании и Северной Ирландии	Италия	Канада	Испания	Грузия	Иордания	Бахрейн	Новая Зеландия	Маврикий
2010	млн долл	511.744	0	0	39.925	38.828	0.059	4.223	2.266	2.75	6.696
2011	млн долл	610.171	0	0	57.02	45.948	0.093	3.218	13.842	3.542	4.677
2012	млн долл	670.229	33.721	222.367	0	35.823	0.94	1.496	5.155	3.578	3.923
2013	млн долл	757.364	24.337	170.41	0	32.449	0.412	1.365	16.749	2.806	4.215
2014	млн долл	759.189	28.604	167.233	94.621	39.455	0.33	5.42	11.4	7.946	3.444
2015	млн долл	813.337	0	169.179	98.634	42.881	0.288	3.125	13.046	4.261	1.658
2016	млн долл	1795.151	0	167.577	113.939	41.491	0.133	4.709	39.078	3.392	1.418
2017	млн долл	932.382	0.492	180.527	109.838	67.361	0.253	2.757	23.655	3.583	0
2018	млн долл	1127.692	0	166.246	119.117	67.605	1.106	4.616	14.014	3.263	0
2019	млн долл	924.783	11.122	176.828	158.593	93.889	2.22	10.717		3.351	0
2020	млн долл	755.811	157.266	253.514	141.321	80.176	3.076	3.368		3.457	0
2021	млн долл	1092.65	170.105	284.747	150.548	121.64	4.243	1.848	5.169	3.749	5.211
2022	млн долл	1354.49	268.322	323.478	240.143	116.006	5.706	2.523	8.478	4.718	3.009
2023	млн долл	1068.352	305.01	290.092	227.913	96.743	10.219	7.583	4.868	4.245	3.458
