Год	Ед. Изм.	Китай	Канада	Российская Федерация	Объединенные Арабские Эмираты	Норвегия	Соединенное Королевство Великобритании и Северной Ирландии	Республика Корея	Япония	Мексика	Соединенные Штаты Америки
2010	млрд долл	5.735365	5.609788	5.627917	0	2.614397	-1.010909	-2.803107	-5.096126	-2.93118	-4.096239
2011	млрд долл	8.876092	6.230606	6.45619	0	3.096936	-1.540955	-3.361056	-6.394883	-4.317134	-3.230803
2012	млрд долл	9.043049	4.820308	5.526911	0.585926	2.802092	-1.166784	-2.989886	-5.784947	-4.256488	-3.186122
2013	млрд долл	11.336703	4.633219	5.342186	1.029013	2.614333	-1.868045	-3.08117	-5.370761	-3.804289	-2.625572
2014	млрд долл	14.57644	4.841857	4.762131	2.974191	2.729306	-2.02731	-3.349451	-6.497852	-4.079308	-4.378332
2015	млрд долл	16.888775	4.285419	5.883448	4.045484	2.550309	-1.970782	-3.135403	-5.714474	-4.273448	-5.820234
2016	млрд долл	15.371818	4.498566	5.032681	4.023746	2.167943	-1.965345	-2.838436	-4.777088	-3.221051	-6.494836
2017	млрд долл	16.025801	5.923357	5.436524	5.052869	2.731991	-2.273686	-3.44049	-5.992431	-4.529787	-11.789755
2018	млрд долл	20.436136	5.517122	5.327075	5.203876	2.774215	-2.27873	-3.303614	-6.926223	-5.345381	-11.635037
2019	млрд долл	20.281107	4.311358	4.644841	4.427109	2.592433	-2.235948	-2.772912	-5.814351	-5.29612	-11.304792
2020	млрд долл	16.442292	4.601259	4.396305	3.429362	2.346543	-1.875634	-2.136601	-4.311377	-4.161547	-9.663688
2021	млрд долл	22.224518	7.193597	7.241861	6.769752	3.705095	-2.162086	-3.646054	-6.551896	-6.239115	-16.705002
2022	млрд долл	30.423139	8.106032	9.389404	6.653465	4.788771	-2.941074	-4.132868	-7.670846	-8.490782	-22.153697
2023	млрд долл	22.630996	7.503898	7.458857	6.400429	3.507085	-2.637832	-3.681953	-5.86997	-6.871355	-14.018261
